file length: 10000
fixed file:  false
order replicate index language algorithm seconds
567 38 14 Python Quicksort 0.28126
568 38 2 C# Quicksort 0.09987
569 38 4 C++ Mergesort 0.07471
570 38 0 C# Binarytree 0.12257
571 39 14 Python Quicksort 0.37781
572 39 1 C# Mergesort 0.10291
573 39 4 C++ Mergesort 0.08498
574 39 2 C# Quicksort 0.10334
575 39 9 Java Binarytree 0.35758
576 39 10 Java Mergesort 0.38101
577 39 13 Python Mergesort 0.41619
578 39 11 Java Quicksort 0.37457
579 39 5 C++ Quicksort 0.07344
580 39 7 Go Mergesort 0.23084
581 39 3 C++ Binarytree 0.10748
582 39 8 Go Quicksort 0.19379
583 39 12 Python Binarytree 0.38484
584 39 6 Go Binarytree 0.23010
585 39 0 C# Binarytree 0.11406
586 40 10 Java Mergesort 0.47273
587 40 2 C# Quicksort 0.15283
588 40 12 Python Binarytree 0.43046
589 40 3 C++ Binarytree 0.15517
590 40 4 C++ Mergesort 0.12834
591 40 11 Java Quicksort 0.34305
592 40 5 C++ Quicksort 0.14919
593 40 1 C# Mergesort 0.10936
594 40 14 Python Quicksort 0.39071
595 40 8 Go Quicksort 0.20482
596 40 13 Python Mergesort 0.36741
597 40 0 C# Binarytree 0.14575
598 40 6 Go Binarytree 0.20382
599 40 9 Java Binarytree 0.31589
600 40 7 Go Mergesort 0.21788
601 41 4 C++ Mergesort 0.12916
602 41 12 Python Binarytree 0.38833
603 41 2 C# Quicksort 0.15792
604 41 9 Java Binarytree 0.34157
605 41 11 Java Quicksort 0.38674
606 41 3 C++ Binarytree 0.12913
607 41 8 Go Quicksort 0.22274
608 41 10 Java Mergesort 0.37799
609 41 1 C# Mergesort 0.10491
610 41 6 Go Binarytree 0.22223
611 41 14 Python Quicksort 0.39255
612 41 0 C# Binarytree 0.17020
613 41 5 C++ Quicksort 0.11857
614 41 7 Go Mergesort 0.22552
615 41 13 Python Mergesort 0.42902
616 42 14 Python Quicksort 0.35362
617 42 6 Go Binarytree 0.16995
618 42 2 C# Quicksort 0.09941
619 42 12 Python Binarytree 0.38804
620 42 1 C# Mergesort 0.10207
621 42 7 Go Mergesort 0.22818
622 42 11 Java Quicksort 0.38206
623 42 3 C++ Binarytree 0.09664
624 42 8 Go Quicksort 0.17222
625 42 5 C++ Quicksort 0.08290
